Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
Coalition for Epidemic Preparedness Innovations,https://www.crunchbase.com/organization/coalition-for-epidemic-preparedness-innovations-cepi,20,10,"Washington, District of Columbia, United States",Coalition for Epidemic Preparedness Innovations (CEPI) is a non profit organisation.,Government Office,,19,"24,733"
49th State Angel Fund,https://www.crunchbase.com/organization/49th-state-angel-fund,18,,"Anchorage, Alaska, United States",The 49th State Angel Fund is an investment fund that indirectly invests in Alaskan businesses.,"Fund Of Funds, Government Office, Micro VC, Venture Capital","Convertible Note, Early Stage Venture, Seed",1,"24,638"
Colgate University,https://www.crunchbase.com/organization/colgate-university,1,,"Hamilton, New York, United States",Colgate University is a liberal arts institution distinguished by academic excellence and interdisciplinary inquiry.,University Program,,,"24,495"
San Jose State University,https://www.crunchbase.com/organization/san-jose-state-university-3,2,,"San Jose, California, United States","San José State is conveniently located on 154 acres in downtown San José, midway between San Francisco and the Monterey/Carmel area at the",University Program,,1,"24,484"
Invest Nova Scotia,https://www.crunchbase.com/organization/invest-nova-scotia-fund,17,,"Halifax, Nova Scotia, Canada",Invest Nova Scotia is a fund designed to foster innovation and collaboration that improves Nova Scotia's competitiveness in the economy.,"Government Office, Venture Capital",,12,"24,254"
EDF Ventures,https://www.crunchbase.com/organization/edf-ventures,49,15,"Ann Arbor, Michigan, United States",EDF Ventures is a leading venture capital firm investing in early-stage healthcare companies.,"Government Office, Micro VC","Early Stage Venture, Late Stage Venture",4,"24,221"
Lifetime Ventures,https://www.crunchbase.com/organization/lifetime-ventures,52,,"Yokohama, Kanagawa, Japan","Lifetime Ventures is a pre-seed vc that invests in earnest, unconventional “talent” to create businesses that will last for 30 years.","Incubator, University Program, Venture Capital","Early Stage Venture, Seed",36,"24,201"
Defense Innovation Unit Experimental (DIUX),https://www.crunchbase.com/organization/defense-innovation-unit-experimental-diux,2,1,"Mountain View, California, United States",DIUx is designed to create a hub for increased communication with the innovation ecosystem.,Government Office,,2,"24,177"
OPIC - Overseas Private Investment Corporation,https://www.crunchbase.com/organization/opic,32,12,"Washington, District of Columbia, United States","OPIC, a U.S.-based development finance institution, mobilizes private capital to help address critical development challenges, and more.","Government Office, Venture Capital",Debt,24,"24,171"
University of Melbourne,https://www.crunchbase.com/organization/the-university-of-melbourne,11,1,"Parkville, New South Wales, Australia","The University of Melbourne is an Australian public university located in Melbourne, Victoria.",University Program,,3,"24,149"
Maryland Venture Fund,https://www.crunchbase.com/organization/maryland-venture-fund,83,21,"Columbia, Maryland, United States",Maryland Venture Fund is an evergreen venture capital fund that is dedicated to funding the next generation of outstanding businesses.,Government Office,"Debt, Early Stage Venture, Grant, Late Stage Venture, Private Equity, Seed",13,"24,064"
Disruptive Technologies Innovation Fund,https://www.crunchbase.com/organization/disruptive-technologies-innovation-fund,21,3,"Dublin, Dublin, Ireland",The Disruptive Technologies Innovation Fund is a €500 million fund.,Government Office,,18,"24,029"
State of California,https://www.crunchbase.com/organization/state-of-california-2,7,,"Richmond, California, United States",State of California is an online platform that features several sections and provides information related to the State of California.,Government Office,,6,"24,016"
NH Bank,https://www.crunchbase.com/organization/nh-bank,2,,"Seoul, Seoul-t'ukpyolsi, South Korea","NH Bank provides foreign exchange, transfer money, credit card, and banking services.",Government Office,,,"23,668"
International Monetary Fund,https://www.crunchbase.com/organization/international-monetary-fund,2,2,"Washington, District of Columbia, United States","International Monetary Fund works to foster global monetary cooperation, secure financial stability, and reduce poverty around the world.",Government Office,,,"23,647"
National Institute of Standards and Technology,https://www.crunchbase.com/organization/national-institute-of-standards-and-technology,36,4,"Gaithersburg, Maryland, United States",National Institute of Standards and Technology is a non-regulatory federal organization that gives economic security and technology.,Government Office,,36,"23,635"
"Technology Development Board, Government of India",https://www.crunchbase.com/organization/technology-development-board-government-of-india,7,,"New Delhi, Delhi, India","Technology Development Board, Government of India  is a statutory body under the Department of Science & Technology.",Government Office,,5,"23,630"
Norwegian Research Council,https://www.crunchbase.com/organization/norwegian-research-councils,22,5,"Oslo, Oslo, Norway",The Research Council of Norway is a government agency that promotes research and science by awarding grants.,Government Office,Grant,12,"23,622"
U.S. Department of Homeland Security,https://www.crunchbase.com/organization/u-s-department-of-homeland-security,20,1,"Washington, District of Columbia, United States",U.S. Department of Homeland Security is a Cabinet department of the United States federal government that focuses on homeland security.,Government Office,,15,"23,608"
Department for Education,https://www.crunchbase.com/organization/department-for-education,5,,"London, England, United Kingdom","Department of Education in England is liable for education, child services, higher ed, further education, apprenticeships, and skills.",Government Office,,5,"23,573"
UCLA Ventures,https://www.crunchbase.com/organization/ucla-ventures,12,4,"Los Angeles, California, United States",A community of Bruin entrepreneurs that supports UCLA's entrepreneurial ecosystem,University Program,Non Equity Assistance,2,"23,461"
Government of Alberta,https://www.crunchbase.com/organization/government-of-alberta,13,1,"Edmonton, Alberta, Canada",The Lieutenant Governor is the Queen's representative in Alberta.,Government Office,,9,"23,269"
Singapore Management University,https://www.crunchbase.com/organization/singapore-management-university,1,,"Singapore, Central Region, Singapore",The Singapore Management University is Singapore's first autonomous government-funded university.,University Program,,,"23,266"
CA Department of Conservation,https://www.crunchbase.com/organization/ca-department-of-conservation,3,,"Sacramento, California, United States",CA Department of Conservation is the conservation department of the State of California.,Government Office,,3,"23,232"
Ukrainian Startup Fund,https://www.crunchbase.com/organization/ukrainian-startup-fund,59,,"Kyiv, Kyyiv, Ukraine",Ukrainian Startup Fund is a state-owned legal entity that offers financial and non-financial support for the early-stage startups.,Government Office,"Grant, Non Equity Assistance, Seed",50,"23,224"
IESE Business School,https://www.crunchbase.com/organization/IESE-Business-School,10,,"Barcelona, Catalonia, Spain",IESE Business School is a management school that offers a financial support and scholarship on their students.,University Program,,1,"23,123"
IDEA: Northeastern University's Venture Accelerator,https://www.crunchbase.com/organization/idea-northeasterns-venture-accelerator,133,9,"Boston, Massachusetts, United States",IDEA is a student-led venture accelerator that fosters the development of entrepreneurs in the Northeastern community.,"Accelerator, Entrepreneurship Program, University Program",Grant,52,"23,091"
S.R.I.W.,https://www.crunchbase.com/organization/s-r-i-w,111,13,"Liège, Liege, Belgium",The S.R.I.W. Group is an institution at the heart of the financial market that assists entrepreneurs in creating and developing businesses.,"Government Office, Venture Capital",Early Stage Venture,24,"22,968"
Belgian Investment Company for Developing Countries,https://www.crunchbase.com/organization/belgian-investment-company-for-developing-countries,160,13,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","BIO is to support a strong private sector in developing and/or emerging countries, to enable them to gain access to growth and sustainable.","Government Office, Venture Capital",Early Stage Venture,90,"22,845"
Velocity,https://www.crunchbase.com/organization/velocity-4,254,22,"Waterloo, Ontario, Canada","Velocity is a leading entrepreneurship program at the University of Waterloo, overseeing the most productive startup incubator in Canada.","Incubator, University Program",Grant,205,"22,807"
Commonwealth of Massachusetts,https://www.crunchbase.com/organization/commonwealth-of-massachusetts-322d,52,4,"Boston, Massachusetts, United States",Commonwealth of Massachusetts is a government administration.,Government Office,,40,"22,696"
