Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
"SipLink, Inc.",https://www.crunchbase.com/organization/siplink-inc,"Android, Communities, Information Technology, Location Based Services, Messaging, Mobile, Mobile Apps, Publishing, Software","Mill Valley, California, United States","Creator of the SipLink spontaneous meetup app, that enables people with common interests to chat, meet and build real friendships.","3,200,585","San Francisco Bay Area, West Coast, Western US",Closed,2014-10-01,day,,,,none,For Profit,http://www.siplink.co/,"SipLink is a spontaneous meetup app that makes it easier for people with common interests to chat, meet and build friendships.  SipLink works by users submitting location sensitive posts. Posts represent a variety of conversation topics.  Some ways people are using SipLink are: - Your best friend lives far away? Find someone with common interest in your neighborhood that you can talk to. - New in town? Find a friend who could help you to integrate into the new environment. - Looking for your soulmate? Your SipLink profile is more than just a face shot. Have meaningful conversations in the safe confines of your favorite coffee shop. - Looking for a playdate? Find other moms and dads in your neighborhood. - Trying to learn a new language? Find fellow language speakers locally and practice together at your favorite coffee shop. - International? SipLink allows you to find and connect with your compatriots locally. - Looking for a study partner? Use SipLink to connect and study at your local coffee shop. - Are you a freelancer? Use SipLink to connect with potential clients at coffee shop you prefer to work out of. - Interested in board games? Find partners to play with at local coffee shops. Main features of the application: 1. Post to start conversations with other SipLink users What is it that you want to talk about? Creating new posts lets other people know what interests you at this moment. Since your new posts will be immediately visible to other people in your local area, adding posts is the best way to start the process of making connections within the app. When you add a post, you can select the coffee shop that you would like to meet at and you can say what is on your mind. You can also skip specifying a coffee shop in which case the post will originate from your approximate current location. 2. Browse nearby posts from people looking to meet over coffee Nearby posts lets you see what people are interested in talking about in your local area. By browsing posts you will be able to find people you may want to meet. The most recent and geographically closest posts are displayed to you. You can scroll down to see older posts and you can use pull down refresh to see new post activity. When you add your own posts they will be immediately visible to other people in your local area.  Each post shows you: some details about the user who made the post; the coffee shop where they would like to meet, its address and distance from you; when the post was made and what the person is looking to talk about.  3. Check profiles of people you could meet By entering profile information about yourself you give other people an idea who you are and what your interests may be. By browsing the profiles of other people you can learn more about them, which will help you decide if chatting with them or meeting at your local coffee shop would be worthwhile. In the profiles view, you can: add pictures to your profile; specify information about yourself; and specify your name and age. 4. Chat with people Chatting with other users within SipLink is a convenient way to meet new people. For example, if you see a post that is interesting, you can chat with the person who made the post. Chatting with other users within SipLink is a convenient way to coordinate when and where you might meet. For example, you would like to meet a person who made a given post so you chat with them to work out the details of at which coffee shop and what time to meet. Chatting with other users within SipLink is a convenient way to maintain connections you have made. For example, you have connected with several people through SipLink and you can chat with them to plan future meetings or simply to touch base or keep your conversation going.","Apps, Community and Lifestyle, Content and Publishing, Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Navigation and Mapping, Platforms, Software",2,1-10,,,,,,,,,,,
WP Farm,https://www.crunchbase.com/organization/wp-farm,"Graphic Design, Web Design, Web Hosting","Mclean, Virginia, United States","WP Farm offers WordPress hosting, prebuilt sites, WordPress repair, WordPress optimization services.","3,200,586","Washington DC Metro Area, East Coast, Southern US",Active,2019-01-01,year,,,,,For Profit,https://www.wpfarm.com,,"Design, Internet Services",,1-10,,,,,,,,,,,
"Center for Maternal Fetal Care, P.A.",https://www.crunchbase.com/organization/center-for-maternal-fetal-care-p-a,Health Care,"San Antonio, Texas, United States","Center for Maternal Fetal Care, P.A provide care to expectant mothers, including the management of high-risk and complicated pregnancies.","3,200,604",Southern US,Active,1996-01-01,year,2011-04-01,day,,,For Profit,http://www.centerformaternalfetalcare.com/,"Center for Maternal Fetal Care, P.A provide care to expectant mothers, including the management of high-risk and complicated pregnancies.",Health Care,,,,M&A,,,,,,,,,
Computer Science and Telecommunications Board,https://www.crunchbase.com/organization/computer-science-and-telecommunications-board,Non Profit,"Washington, District of Columbia, United States","The Computer Science and Telecommunications Board is where the nation turns for independent and informed assessments of computing,","3,200,614","Washington DC Metro Area, Southern US",Active,1986-01-01,year,,,,,,http://www.cstb.org,"The Computer Science and Telecommunications Board is where the nation turns for independent and informed assessments of computing, communications and public policy.","Other, Social Impact",,,,,,,,,,,,,
Intermutual Group,https://www.crunchbase.com/organization/intermutual-group,"Consulting, Incubators, Venture Capital","Orlando, Florida, United States",Venture Capital,"3,200,620","East Coast, Southern US",Closed,2011-08-13,day,,,,none,For Profit,http://intermutualpartners.com,"Intermutual Partner’s efficacy, market influence and combination of the old school pounding the payment and new school technology allows deep penetration into a multitude of various online and offline industries. IMP targets undeserved markets and builds revenue generating models into segmented sales or service based organizations. The IMP proprietary value creation process renders an in depth perspective to both the evolutionary portion of the business and the potential scalability of the current offering. Our team of result driven analysts provide out of the box experience and objective based systematic approaches to early capital adoption and successful launch strategies. The IMP model is based upon years of entrepreneurial prowess. Our management team comes to the table with diverse backgrounds and proven track records of successful launches in growth industries. With a multi generational perspective and demonstrated approach our team identifies a fast track method of building or reconstructing the companies frame work from floor to ceiling. The company’s team and model is then vetted against in house resources developing business prototypes and formulating speculative go to market protocols. Our model employs methodology and research that teaches, mentors and creates corporate evolution.","Financial Services, Lending and Investments, Professional Services",,1-10,,,,,,,,,,,
Cascade Realty Solutions,https://www.crunchbase.com/organization/cascade-realty-solutions,"Property Management, Real Estate, Real Estate Investment, Residential","Bend, Oregon, United States",Cascade Realty Solutions is a real estate company.,"3,200,623","West Coast, Western US",Active,,,,,,,For Profit,https://www.cascaderealtysolutions.com,"Cascade Realty Solutions assist in real estate buying and selling services. That is in listings and new homes marketing strategies. Their services include real estate investment, residential, commercial, mortgage, property investment, and property management.","Financial Services, Real Estate",,11-50,,,,,,,,,,,
Yudell and Lonoff,https://www.crunchbase.com/organization/yudell-and-lonoff,"Law Enforcement, Legal, Real Estate","Northfield, Minnesota, United States","Yudell & Lonoff is a law firm concentrating in estates, trusts and tax planning.","3,200,632","Great Lakes, Midwestern US",Active,1998-01-01,year,,,,,For Profit,https://www.yudellandlonoff.com,"Yudell and Lonoff focus on providing timely, cost effective legal services, while giving compassionate consideration to the needs of their clients. They invite you to contact us to set up a consultation to discuss how they can help you with estate planning, business planning, real estate transactions, or any other aspect of their practice.","Government and Military, Privacy and Security, Professional Services, Real Estate",,1-10,,,,,,,,,,,
HorsePower,https://www.crunchbase.com/organization/horsepower-b146,"Health Care, Therapeutics, Wellness","Sioux Falls, South Dakota, United States","HorsePower provides equestrian programs and therapies for individuals with physical, emotional, and cognitive challenges.","3,200,633",Midwestern US,Active,1985-01-01,year,,,,,Non-profit,https://horsepowersf.com,"HorsePower is a nonprofit organization that provides therapeutic horse programs for individuals facing physical, emotional, and cognitive challenges. Utilizing the influence of horses as a healing therapy, they cater to individuals with various disabilities. The therapy team, along with the invaluable assistance of volunteers, plays a pivotal role in ensuring the success of each rider.",Health Care,,,,,,,,,,,,,
John W Hulterstrom CPA,https://www.crunchbase.com/organization/john-w-hulterstrom-cpa,"Accounting, Consulting, Financial Services","Apple Valley, California, United States","John W Hulterstrom CPA is an accounting firm that offers bookkeeping, tax planning, payroll, litigation, compilations & consulting services.","3,200,640","Greater Los Angeles Area, Inland Empire, West Coast",Active,,,,,,,For Profit,http://www.jhulterstromcpa.com/home.html,,"Financial Services, Professional Services",,,,,,,,,,,,,
PosibleHost,https://www.crunchbase.com/organization/posiblehost,Web Hosting,"Hialeah, Florida, United States","PosibleHost provides cPanel Web Hosting,","3,200,643","Greater Miami Area, East Coast, Southern US",Active,2009-03-17,day,,,,,For Profit,http://www.posiblehost.com,"PosibleHost provides cPanel Web Hosting, Reseller Hosting and VPS Servers. It offers unique features such as LiteSpeed Hosting Technology which has been known to increase website loading speed. In Addition PosibleHost offers 24/7/365 Support Services. PosibleHost’s servers are located in Hialeah FL, United States of America.",Internet Services,,11-50,,,,,,,,,,,
Federal Marketing Tools,https://www.crunchbase.com/organization/federal-marketing-tools,"Business Development, Consulting, Sales, Training","Woodbridge, Virginia, United States",Federal Marketing Tools is expertise to offer sales training & consulting solutions for federal contractors to achieve their revenue growth.,"3,200,646","Washington DC Metro Area, East Coast, Southern US",Active,2014-01-01,year,,,,,For Profit,http://www.federalmarketingtools.com/,,"Education, Professional Services, Sales and Marketing",,1-10,,,,,,,,,,,
OC Native Media,https://www.crunchbase.com/organization/oc-native-media,"Communities, News","Tustin, California, United States","Local news and information, for young people.","3,200,661","Greater Los Angeles Area, West Coast, Western US",Closed,2015-12-01,day,,,,none,For Profit,http://www.ocnative.com,,"Community and Lifestyle, Content and Publishing, Media and Entertainment",,1-10,,,,,,,,,,,
SharedSpace,https://www.crunchbase.com/organization/sharedspace-9cbf,"Software, Web Design, Web Development, Web Hosting","Southfield, Michigan, United States","SharedSpace provides services such as web graphic design, content design, interface design.","3,200,664","Greater Detroit Area, Great Lakes, Midwestern US",Active,2019-01-01,year,,,,,For Profit,https://www.sharedspace.plus/,,"Design, Internet Services, Software",,,,,,,,,,,,,
Apapers,https://www.crunchbase.com/organization/apapers,"Education, Information Technology","New York, New York, United States",We provide students with high-quality academic works that correspond to their instructions and meet the highest standards of writing.,"3,200,665","Greater New York Area, East Coast, Northeastern US",Active,2000-05-04,day,,,,,For Profit,https://apapers.com,"Apapers.com is an online writing helper. It aims to help those students who have troubles with their written assignments. They work only with professional and qualified writers, who were chosen through testing system. Everyone of them works in certain sphere of knowledge and completes certain types of writings. Here you can get round-the-clock customer support and different discounts. The complete safety of your paymant details is guaranteed.","Education, Information Technology",,11-50,,,,,,,,,,,
